# CMUdict fallback pronunciations converted from ARPAbet
a	IX
adabel	'AEdIXbEHLX
adabelle	'AEdIXbIXLX
adachi	AAd'AAkIY
adage	'AEdIXdZH
adagio	IXd'AAZHIY"OW
adah	'AEdAA
adair	IXd'EHr
adaire	AAd'EHr
adak	IXd'AEk
adalah	AAd'AAlIX
adalia	AAd'AAlIYIX
adam	'AEdIXm
adam's	'AEdIXmz
adamant	'AEdIXmIXnt
adamantly	'AEdIXmIXntlIY
adamcik	'AAdIXmtSHIHk
adamczak	'AAdIXmtSHAEk
adamczyk	'AAdIXmtSHIHk
adame	AAd'AAmIY
adamec	IXd'AAmIHk
adamek	IXd'AAmEHk
adames	IXd'EYmz
adami	AAd'AAmIY
adamik	IXd'AAmIHk
adamina	AAdAAm'IYnIX
adamkus	'AEdIXmkIXs
adamo	AAd'AAmOW
adamowicz	IXd'AAmIXvIHtSH
adams	'AEdIXmz
adams's	'AEdIXmzIHz
adamski	IXd'AEmsk"IY
adamson	'AEdIXmsIXn
adamstown	'AEdIXmst"AWn
adan	'EYdIXn
adapso	IXd'AEpsOW
adapt	IXd'AEpt
adaptability	IXd"AEptIXb'IHlIXtIY
adaptable	IXd'AEptIXbIXLX
adaptaplex	IXd'AEptIXpl"EHks
adaptation	"AEdIXpt'EYSHIXn
adaptations	"AEdAEpt'EYSHIXnz
adaptec	IXd'AEpt"EHk
adaptec's	IXd'AEpt"EHks
adapted	IXd'AEptIHd
adapter	IXd'AEptER
adapters	IXd'AEptERz
adapting	IXd'AEptIHNG
adaptive	IXd'AEptIHv
adaptor	IXd'AEptER
adaptors	IXd'AEptERz
adapts	IXd'AEpts
adar	IXd'AAr
adarand	'AEdIXr"AEnd
adare	IXd'EHr
adas	'EYdIXz
aday	IXd'EY
adaza	IXd'AAzIX
adblock	'AEdbl"AAk
adcock	IXdk'AAk
adcox	IXdk'AAks
add	'AEd
addair	IXd'EHr
addams	'AEdIXmz
added	'AEdIXd
addendum	IXd'EHndIXm
addendums	IXd'EHndIXmz
addeo	'AAdIYOW
adder	'AEdER
adderley	IXd'ERlIY
addicks	'AEdIHks
addict	IXd'IHkt
addicted	IXd'IHktIHd
addicting	IXd'IHktIHNG
addiction	IXd'IHkSHIXn
addictions	IXd'IHkSHIXnz
addictive	IXd'IHktIHv
addicts	IXd'IHkts
addidas	IXd'IYdIXs
addidas's	IXd'IYdIXsIHz
addidases	IXd'IYdIXsIHz
addie	'AEdIY
adding	'AEdIHNG
addington	'AEdIHNGtIXn
addis	'AAdIHs
addison	'AEdIXsIXn
addison's	'AEdIHsIXnz
addition	IXd'IHSHIXn
additional	IXd'IHSHIXnIXLX
additionally	IXd'IHSHIXn"AHlIY
additions	IXd'IHSHIXnz
additive	'AEdIXtIHv
additives	'AEdIXtIHvz
addle	'AEdIXLX
addled	'AEdIXLXd
addleman	'AEdIXLXmIXn
address	'AEdr"EHs
addressable	IXdr'EHsIXbIXLX
addressed	IXdr'EHst
addressee	"AEdrEHs'IY
addresses	'AEdr'EHsIHz
addressing	IXdr'EHsIHNG
adds	'AEdz
adduci	AAd'UWtSHIY
adduct	'AEdIXkt
addwest	"AEdw'EHst
addy	'AEdIY
addyston	'AEdIYstIXn
ade	'EYd
adee	IXd'IY
adel	IXd'EHLX
adela	IXd'EHlIX
adelaar	'AEdIXl"AAr
adelaide	'AEdIXl"EYd
adelanto	AEdIXl'AAntOW
adelbert	IXd'EHLXbERt
adele	IXd'EHLX
adele's	IXd'EHLXz
adeline	'AEdIXl"AYn
adelizzi	"AEdIXl'IYzIY
adell	IXd'EHLX
adell's	IXd'EHLXz
adelle	IXd'EHLX
adelman	'AEdIXLXmIXn
adelmann	'AEdIXLXmIXn
adelpha	IXd'EHLXfIX
adelphi	IXd'EHLXfIY
adelphia	IXd'EHLXfIYIX
adelphia's	IXd'EHLXfIYIXz
adelsberger	'AEdIHLXzbERgER
adelson	'AEdIXLXsIXn
adelstein	'AEdIXLXstAYn
aden	'EYdIXn
adena	'AEdIHnIX
adenauer	'EYdIXn"AWr
adenine	'AEdIXn"IYn
adenoid	'AEdIXn"OYd
adenoids	'AEdIXn"OYdz
adenoscan	IXd'EHnIXsk"AEn
adenosine	IXd'EHnIXs"IYn
adenovirus	IXd'EHnIXv"AYrIXs
adept	IXd'EHpt
adequacy	'AEdIXkwIXsIY
adequate	'AEdIXkwIXt
adequately	'AEdIXkwIXtlIY
ader	'EYdER
aderhold	'AEdERhOWLXd
aderholt	'AEdERhOWLXt
aderman	'AEdERmIXn
ades	'EYdz
adey	'EYdIY
adger	'AEdZHER
adham	'AEdhAEm
adhd	"EYd"IY"EYtSHd'IY
adhere	IXdh'IHr
adhered	AEdh'IHrd
adherence	IXdh'IHrIXns
adherent	IXdh'IHrIXnt
adherents	AEdh'IHrIXnts
adheres	IXdh'IHrz
adhering	IXdh'IHrIHNG
adhesion	AEdh'IYZHIXn
adhesive	AEdh'IYsIHv
adhesives	AEdh'IYsIHvz
adia	'AAdIYIX
adid	IXd'IHd
adidas	IXd'IYdIXs
adidas's	IXd'IYdIXsIHz
adieu	IXd'UW
adin	IXd'IHn
adina	AAd'IYnIX
adine	AAd'IYnIY
adinolfi	AAdIYn'OWLXfIY
adios	"AAdIY'OWs
adipose	'AEdIXp"OWs
adirondack	"AEdER'AAndAEk
adisq	IXd'IHsk
adjacent	IXdZH'EYsIXnt
adjani	AEddZH'AAnIY
adjective	'AEdZHIHktIHv
adjectives	'AEdZHIHktIHvz
adjoin	IXdZH'OYn
adjoining	IXdZH'OYnIHNG
adjoins	IXdZH'OYnz
adjourn	IXdZH'ERn
adjourned	IXdZH'ERnd
adjourning	IXdZH'ERnIHNG
adjournment	IXdZH'ERnmIXnt
adjourns	IXdZH'ERnz
adjudge	IXdZH'AHdZH
adjudged	IXdZH'AHdZHd
adjudicate	IXdZH'UWdIHk"EYt
adjudicated	IXdZH'UWdIXk"EYtIHd
adjudicating	IXdZH'UWdIHk"EYtIHNG
adjudication	IXdZH"UWdIXk'EYSHIXn
adjunct	'AEdZH"AHNGkt
adjuncts	'AEdZH"AHNGkts
adjust	IXdZH'AHst
adjustable	IXdZH'AHstIXbIXLX
adjustables	IXdZH'AHstIXbIXLXz
adjusted	IXdZH'AHstIHd
adjuster	IXdZH'AHstER
adjusters	IXdZH'AHstERz
adjusting	IXdZH'AHstIHNG
adjustment	IXdZH'AHstmIXnt
adjustments	IXdZH'AHstmIXnts
adjusts	IXdZH'AHsts
adjutant	'AEdZHIXtIXnt
adkins	'AEdkIHnz
adkinson	'AEdkIHnsIXn
adkison	'AEdkIHsIXn
adkisson	'AEdkIHsIXn
adlai	AAdl'AAIY
adler	'AEdlER
adler's	'AEdlERz
adlers	'AEdlERz
adley	'AEdlIY
adlon	'AEdlAAn
adlong	'AEdlAANG
adman	'AEdmIXn
admen	'AEdmIXn
admin	'AEdmIHn
administer	IXdm'IHnIXstER
administered	IXdm'IHnIXstERd
administering	AEdm'IHnIHst"ERIHNG
administers	AEdm'IHnIHstERz
administrate	AEdm'IHnIHstr"EYt
administrating	IXdm'IHnIXstr"EYtIHNG
administration	AEdm"IHnIHstr'EYSHIXn
administration's	AEdm"IHnIHstr'EYSHIXnz
administrations	AEdm"IHnIHstr'EYSHIXnz
administrative	IXdm'IHnIXstr"EYtIHv
administratively	AEdm"IHnIXstr'EYtIHvlIY
administrator	IXdm'IHnIXstr"EYtER
administrator's	AEdm'IHnIHstr"EYtERz
administrators	AEdm'IHnIHstr"EYtERz
admins	IXdm'IHnz
admira	AEdm'AYrIX
admira's	AEdm'AYrIXz
admirable	'AEdmERIXbIXLX
admirably	'AEdmERIXblIY
admiral	'AEdmERIXLX
admiral's	'AEdmERIXLXz
admirals	'AEdmERIXLXz
admiralty	'AEdmERIXLXtIY
admiration	"AEdmER'EYSHIXn
admirations	"AEdmER'EYSHIXnz
admire	AEdm'AYr
admired	IXdm'AYERd
admirer	AEdm'AYrER
admirers	IXdm'AYrERz
admires	AEdm'AYrz
admiring	AEdm'AYrIHNG
admiringly	AEdm'AYrIHNGlIY
admissibility	IXdm"IHsIXb'IHlIXtIY
admissible	IXdm'IHsIXbIXLX
admission	AEdm'IHSHIXn
admissions	AEdm'IHSHIXnz
admit	IXdm'IHt
admits	IXdm'IHts
admittance	IXdm'IHtIXns
admitted	IXdm'IHtIHd
admittedly	AEdm'IHtIHdlIY
admitting	AEdm'IHtIHNG
admonish	AEdm'AAnIHSH
admonished	IXdm'AAnIHSHt
admonishes	AEdm'AAnIHSHIHz
admonishing	AEdm'AAnIHSHIHNG
admonishment	AEdm'AAnIHSHmEHnt
admonition	"AEdmIXn'IHSHIXn
admonitions	"AEdmIXn'IHSHIXnz
admonitory	"AEdm'AAnIHt"OWrIY
adnan	'AEdnIXn
adney	'AEdnIY
ado	IXd'UW
adobe	IXd'OWbIY
adobe's	IXd'OWbIYz
adolescence	"AEdIXl'EHsIXns
adolescent	"AEdIXl'EHsIXnt
adolescents	"AEdIXl'EHsIXnts
adolf	'EYdAALXf
adolf's	'EYdAALXfs
adolfo	IXd'AALXf"OW
adolph	'EYdAALXf
adolpha	AAd'OWLXfIX
adolphson	'AEdOWLXfsIXn
adolphus	IXd'AALXfIXs
adon	AAd'AAn
adonia	AAd'OWnIYIX
adonis	IXd'AAnIXs
adopt	IXd'AApt
adoptable	IXd'AAptIXbIXLX
adopted	IXd'AAptIHd
adoptee	IXd'AApt'IY
adoptees	IXd'AApt'IYz
adopter	IXd'AAptER
adopters	IXd'AAptERz
adopting	IXd'AAptIHNG
adoption	IXd'AApSHIXn
adoptions	IXd'AApSHIXnz
adoptive	IXd'AAptIHv
adopts	IXd'AApts
ador	AAd'OWr
adora	AAd'OWrIX
adorabelle	'AEdERIXbIXLX
adorable	IXd'OWrIXbIXLX
adoration	"AEdER'EYSHIXn
adore	IXd'OWr
adored	IXd'OWrd
adoree	AEdER'IY
adorees	AEdER'IYz
adores	IXd'OWrz
adoring	IXd'OWrIHNG
adorn	IXd'OWrn
adorna	AAd'OWrnIX
adorned	IXd'OWrnd
adorning	IXd'OWrnIHNG
adornment	IXd'OWrnmIXnt
adorno	AAd'OWrnOW
adorns	IXd'OWrnz
adra	'EYdrIX
adragna	AAdr'AAgnIX
adrda	'EYdERdIX
adrea	'AAdrIYIX
adrenal	IXdr'IYnIXLX
adrenalin	IXdr'EHnIXlIHn
adrenaline	IXdr'EHnIXlIXn
adrenergic	IXdrEHn'EHrdZHIHk
adria	'AAdrIYIX
adrian	'EYdrIYIXn
adriana	"EYdrIY'AEnIX
adriance	AAdr'IYIXns
adriano	AAdrIY'AAnOW
adriatic	"EYdrIY'AEtIHk
adriel	IXdr'IYLX
adrienne	AAdrIY'EHn
adrift	IXdr'IHft
adroit	IXdr'OYt
adroitly	IXdr'OYtlIY
ads	'AEdz
adsit	'AEdsIHt
adsl	"EYd"IY"EHs'EHLX
adsorption	IXds'OWrpSHIXn
adss	'AEds
adstar	'AEdstAAr
adsteam	'AEdstIYm
adtec	'AEdt"EHk
adulate	'AEdZHIXl"EYt
adulation	"AEdZHIXl'EYSHIXn
aduliadae	IXd"UWlIY'AAdEY
adult	IXd'AHLXt
adulterate	IXd'AHLXtER"EYt
adulterated	IXd'AHLXtER"EYtIHd
adulterates	IXd'AHLXtER"EYts
adulteration	IXd"AHLXtER'EYSHIXn
adulterer	IXd'AHLXtERER
adulterers	IXd'AHLXtERERz
adulterous	IXd'AHLXtERIXs
adultery	IXd'AHLXtERIY
adulthood	IXd'AHLXth"UHd
adults	IXd'AHLXts
adusdur	'AEdIXsdER
advacare	'AEdvIXk"EHr
advalue	'AEdvIXl"UW
advance	IXdv'AEns
advance's	IXdv'AEnsIXz
advanced	IXdv'AEnst
advancement	IXdv'AEnsmIXnt
advancements	IXdv'AEnsmIXnts
advancer	IXdv'AEnsER
advancers	IXdv'AEnsERz
advances	IXdv'AEnsIXz
advancing	IXdv'AEnsIHNG
advani	AEdv'AAnIY
advanta	AEdv'AEntIX
advanta's	AEdv'AEntIXz
advantage	AEdv'AEntIHdZH
advantaged	AEdv'AEntIHdZHd
advantageous	"AEdvIXnt'EYdZHIXs
advantages	AEdv'AEntIHdZHIHz
advantest	AEdv'AEntIXst
advection	AEdv'EHkSHIXn
advent	'AEdv"EHnt
adventist	'AEdv"EHntIHst
adventists	'AEdv"EHntIHsts
adventure	AEdv'EHntSHER
adventurer	AEdv'EHntSHERER
adventurers	AEdv'EHntSHERERz
adventures	AEdv'EHntSHERz
adventuresome	AEdv'EHntSHERsIXm
adventurism	AEdv'EHntSHER"IHzIXm
adventurous	AEdv'EHntSHERIXs
adverb	'AEdvERb
adverbial	AEdv'ERbIYIXLX
adverbs	'AEdvERbz
adversarial	"AEdvERs'EHrIYIXLX
adversaries	'AEdvERs"EHrIYz
adversary	'AEdvERs"EHrIY
adverse	AEdv'ERs
adversely	AEdv'ERslIY
adversity	AEdv'ERsIHt"IY
advert	'AEdvERt
advertise	'AEdvERt"AYz
advertised	'AEdvERt"AYzd
advertisement	AEdv'ERtIXzmIXnt
advertisements	'AEdvERt"AYzmIXnts
advertiser	'AEdvERt"AYzER
advertiser's	'AEdvERt"AYzERz
advertisers	'AEdvERt"AYzERz
advertises	'AEdvERt"AYzIHz
advertising	'AEdvERt"AYzIHNG
advertising's	'AEdvERt"AYzIHNGz
advertorial	"AEdvERt'OWrIYIXLX
advertorials	"AEdvERt'OWrIYIXLXz
advest	'AEdvEHst
advice	AEdv'AYs
advil	'AEdv"IHLX
advil's	'AEdv"IHLXz
advisability	"AEdv"AYzIXb'IHlIHtIY
advisable	IXdv'AYzIXbIXLX
advise	AEdv'AYz
advised	AEdv'AYzd
advisedly	AEdv'AYzIXdlIY
advisement	IXdv'AYzmIXnt
adviser	AEdv'AYzER
adviser's	IXdv'AYzERz
advisers	AEdv'AYzERz
advises	AEdv'AYzIHz
advising	AEdv'AYzIHNG
advisor	AEdv'AYzER
advisories	IXdv'AYzERIYz
advisors	AEdv'AYzERz
advisory	AEdv'AYzERIY
advo	'AEdvOW
advocacy	'AEdvIXkIXsIY
advocate	'AEdvIXkIXt
advocate's	'AEdvIXkIXts
advocated	'AEdvIXk"EYtIHd
advocates	'AEdvIXkIXts
advocating	'AEdvIXk"EYtIHNG
advocation	"AEdvIXk'EYSHIXn
adweek	'AEdwIYk
adwell	IXdw'EHLX
adwords	'AEdw"ERdz
ady	'EYdIY
adz	'AEdz
ae	'EY
aegean	IHdZH'IYIXn
aegerter	'EHgERtER
aegis	'IYdZHIXs
aegon	'EYgAAn
aeltus	'AELXtIXs
aeneas	'AEnIYIXs
aeneid	IXn'IYIHd
aeolus	'EHOWlUHs
aequitron	'EYkwIHtrAAn
aer	'EHr
aerial	'EHrIYIXLX
aerials	'EHrIYIXLXz
aerie	'EHrIY
aerien	'EHrIYIXn
aeriens	'EHrIYIXnz
aeritalia	"EHrIHt'AELXyIX
aero	'EHrOW
aerobatic	"EHrIXb'AEtIHk
aerobatics	"EHrIXb'AEtIHks
aerobic	EHr'OWbIHk
aerobically	EHr'OWbIHklIY
aerobics	ER'OWbIHks
aerodrome	'EHrIXdr"OWm
aerodromes	'EHrIXdr"OWmz
aerodynamic	"EHrOWdAYn'AEmIHk
aerodynamically	"EHrOWdAYn'AEmIHklIY
aerodynamicist	"EHrOWdAYn'AEmIHsIHst
aerodynamicists	"EHrOWdAYn'AEmIHsIHsts
aerodynamics	"EHrOWdAYn'AEmIHks
aerodyne	'EHrIXd"AYn
aerodyne's	'EHrIXd"AYnz
aeroflot	'EHrOWfl"AAt
aeroflot's	'EHrOWfl"AAts
aerogenosa	'EHrIXdZHIXn"OWsIX
aerojet	'EHrOWdZH"EHt
aerojets	'EHrOWdZH"EHts
aerolift	'EHrOWl"IHft
aerolifts	'EHrOWl"IHfts
aerolineas	"EHrOWl'IHnIYIXs
aeromar	'EHrIXmAAr
aeromexico	"EHrOWm'EHksIHk"OW
aeromexico's	"EHrOWm'EHksIHk"OWz
aeronautic	"EHrOWn'AAtIXk
aeronautical	"EHrOWn'AAtIXkIXLX
aeronauticas	"EHrOWn'AAtIHkIXs
aeronautics	"EHrIXn'AAtIHks
aeroperu	"EHrOWpEYr'UW
aeroperu's	"EHrOWpEYr'UWz
aeroquip	'EHrIXkw"IHp
aeroscience	"EHrOWs'AYIXs
aerosmith	'EHrOWsm"IHTH
aerosmith's	'EHrOWsm"IHTHs
aerosol	'EHrIXs"AALX
aerosols	'EHrIXs"AALXz
aerospace	'EHrOWsp"EYs
aerospace's	'EHrOWsp"EYsIHz
aerospatiale	"EHrOWsp"AAsIY'AALX
aerospatiale's	"EHrOWsp"AAsIY'AALXz
aerostar	'EHrOWst"AAr
aerostar's	'EHrOWst"AArz
aerostars	'EHrOWst"AArz
aerostat	'EHrOWst"AEt
aerostat's	'EHrOWst"AEts
aerostats	'EHrOWst"AEts
aerotech	'EHrOWt"EHk
aerovias	EHrOWv'IYIXz
aerts	'EHrts
aeschelus	'EHskIXlIXs
aeschliman	'EHSHlIYmIXn
aesop	'IYs"AAp
aesop's	'IYs"AAps
aesthenopia	AEsTHIXn'AApyIX
aesthete	'EHsTHIYt
aesthete's	'EHsTHIYts
aesthetes	'EHsTHIYts
aesthetic	EHsTH'EHtIHk
aesthetically	EHsTH'EHtIHklIY
aesthetics	EHsTH'EHtIHks
aetna	'EHtnIX
aetna's	'EHtnIXz
afanasyev	"AEfIXn'EYsIYEHv
afar	IXf'AAr
affable	'AEfIXbIXLX
affably	'AEfIXblIY
affair	IXf'EHr
affair's	IXf'EHrz
affairs	IXf'EHrz
affect	IXf'EHkt
affectation	"AEfEHkt'EYSHIXn
affected	IXf'EHktIHd
affecting	IXf'EHktIHNG
affection	IXf'EHkSHIXn
affectionate	IXf'EHkSHIXnIXt
affectionately	IXf'EHkSHIXnIXtlIY
affections	IXf'EHkSHIXnz
affective	IXf'EHktIHv
affectively	IXf'EHktIHvlIY
affects	IXf'EHkts
affeldt	'AEfIHLXt
afferent	'AEfERIXnt
affiant	'AEfIYIXnt
affidavit	"AEfIXd'EYvIXt
affidavits	"AEfIHd'EYvIHts
affiliate	IXf'IHlIY"EYt
affiliate's	IXf'IHlIY"EYts
affiliated	IXf'IHlIY"EYtIHd
affiliated's	IXf'IHlIY"EYtIHdz
affiliates	IXf'IHlIYIXts
affiliating	IXf'IHlIY"EYtIHNG
affiliation	IXf"IHlIY'EYSHIXn
affiliations	IXf"IHlIY'EYSHIXnz
affine	IXf'AYn
affined	IXf'AYnd
affines	IXf'AYnz
affining	IXf'AYnIHNG
affinities	IXf'IHnIXtIYz
affinity	IXf'IHnIXtIY
affirm	IXf'ERm
affirmation	"AEfERm'EYSHIXn
affirmations	"AEfERm'EYSHIXnz
affirmative	IXf'ERmIXtIHv
affirmatively	IXf'ERmIXtIHvlIY
affirmed	IXf'ERmd
affirming	IXf'ERmIHNG
affirms	IXf'ERmz
affix	'AEfIHks
affixed	IXf'IHkst
affixes	'AEfIHksIHz
affixing	IXf'IHksIHNG
affleck	'AEflIHk
afflerbach	'AEflERb"AAk
afflict	IXfl'IHkt
afflicted	IXfl'IHktIHd
afflicting	IXfl'IHktIHNG
affliction	IXfl'IHkSHIXn
afflictions	IXfl'IHkSHIXnz
afflicts	IXfl'IHkts
afflik	"AEfl'IHk
affluence	'AEflUWIXns
affluent	'AEflUWIXnt
affolter	'AEfOWLXtER
afford	IXf'OWrd
affordability	IXf"OWrdIXb'IHlIXtIY
affordable	IXf'OWrdIXbIXLX
affordably	IXf'OWrdIXblIY
afforded	IXf'OWrdIXd
affording	IXf'OWrdIHNG
affords	IXf'OWrdz
affricate	'AEfrIXkIXt
affricates	'AEfrIXkIXts
affrication	"AEfrIXk'EYSHIXn
affront	IXfr'AHnt
affronted	IXfr'AHntIHd
affronting	IXfr'AHntIHNG
affronts	IXfr'AHnts
affymax	'AEfIYm"AEks
afghan	'AEfg"AEn
afghani	AEfg'AAnIY
afghani's	AEfg'AEnIYz
afghanis	AEfg'AEnIYz
afghanistan	AEfg'AEnIXst"AEn
afghanistan's	AEfg'AEnIXst"AEnz
afghanistans	AEfg'AEnIXst"AEnz
afghans	'AEfg"AEnz
afheldt	'AEf"EHLXt
aficionado	IXf"IYSHyIXn'AAd"OW
aficionados	IXf"IHSHIXn'AAdOWz
afield	IXf'IYLXd
afire	IXf'AYr
afl	"EY"EHf'EHLX
aflame	IXfl'EYm
aflatoxin	"AEflIXt'AAksIHn
afloat	IXfl'OWt
aflutter	IXfl'AHtER
afmed	'AEfmEHd
afonso	IXf'AAnsOW
afoot	IXf'UHt
aforementioned	IXf'OWrm"EHnSHIXnd
aforesaid	IXf'OWrs"EHd
aforethought	IXf'OWrTH"AAt
afoul	IXf'AWLX
afraid	IXfr'EYd
afresh	IXfr'EHSH
africa	'AEfrIXkAA
africa's	'AEfrIXkIXz
african	'AEfrIXkIXn
africanist	'AEfrIHkIXnIHst
africanist's	'AEfrIHkAAnIHsts
africanists	'AEfrIHkAAnIHsts
africanize	'AEfrIXkIXn"AYz
africanized	'AEfrIXkIXn"AYzd
africans	'AEfrIXkIXnz
afridi	IXfr'IYdIY
afrikaans	"AEfrIXk'AAnz
afrikaner	"AEfrIXk'AAnER
afrikanerdom	"AEfrIXk'AAnERdIXm
afrikaners	"AEfrIHk'AAnERz
afro	'AEfrOW
afroamerican	'AEfrOWIXm'EHrIXkIXn
afroamericans	'AEfrOWIXm'EHrIXkIXnz
afrocentric	'AEfrOWs'EHntrIHk
afsane	AAfs'AAn"EY
afsane's	AAfs'AAn"EYz
afshar	'AEfSHER
afshar's	'AEfSHERz
aft	'AEft
after	'AEftER
afterall	'AEftER"AALX
afterburner	'AEftERb"ERnER
afterburners	'AEftERb"ERnERz
aftereffect	'AEftERIXf"EHkt
aftereffects	'AEftERIXf"EHkts
afterglow	'AEftERgl"OW
afterglows	'AEftERgl"OWz
afterhours	'AEftERh"AWERz
afterimage	'AEftER"IHmIHdZH
afterimages	'AEftER"IHmIHdZHIXz
afterlife	'AEftERl"AYf
afterlives	'AEftERl"AYvz
aftermarket	'AEftERm"AArkIHt
aftermarkets	'AEftERm"AArkIHts
aftermath	'AEftERm"AETH
aftermaths	'AEftERm"AETHs
afternoon	"AEftERn'UWn
afternoon's	"AEftERn'UWnz
afternoons	"AEftERn'UWnz
aftershave	"AEftERSH'EYv
aftershaves	"AEftERSH'EYvz
aftershock	'AEftERSH"AAk
aftershocks	'AEftERSH"AAks
aftertaste	'AEftERt"EYst
aftertastes	'AEftERt"EYsts
aftertax	'AEftERt"AEks
afterthought	'AEftERTH"AAt
afterthoughts	'AEftERTH"AAts
afterward	'AEftERwERd
afterwards	'AEftERwERdz
afula	IXf'UWlIX
afula's	IXf'UWlIXz
ag	'AEg
ag's	'AEgz
aga	'AAgIX
agache	'AEgAEtSH
agache's	'AEgAEtSHIXz
agaches	'AEgAEtSHIXz
again	IXg'EHn
against	IXg'EHnst
agamemnon	"AEgIXm'EHmn"AAn
agamemnon's	"AEgIXm'EHmn"AAnz
agan	'EYgIXn
agana	IXg'AAnIX
aganbegyan	"AEgIXnb'EHgyIXn
agans	'AAgAAnz
agape	IXg'EYp
agar	'EYgER
agard	'AEgERd
agarwal	'AAgAArwAALX
agasp	IXg'AEsp
agassi	'AEgIXsIY
agassiz	IXg'AEsIHz
agate	'AEgIXt
agates	'AEgIXts
agatha	'AEgIXTHIX
agawam	'AEgIXw"AAm
agco	'AEgk"OW
age	'EYdZH
age's	'EYdZHIHz
aged	'EYdZHd
agee	'EYdZH'IY
agee's	'EYdZHIYz
ageless	'EYdZHlIXs
agematsu	'AEgIXm'AEtsUW
agence	'AEdZHIXns
agencies	'EYdZHIXnsIYz
agency	'EYdZHIXnsIY
agency's	'EYdZHIXnsIYz
agenda	IXdZH'EHndIX
agendas	IXdZH'EHndIXz
agent	'EYdZHIXnt
agent's	'EYdZHIXnts
agents	'EYdZHIXnts
ager	'EYdZHER
ageratum	IXdZH'EHrIXtIXm
ageratums	IXdZH'EHrIXtIXmz
agers	'EYdZHERz
agerton	'EYgERtIXn
ages	'EYdZHIXz
agfa	'AEgfIX
aggarwal	IXg'AArwIXLX
aggie	'AEgIY
aggies	'AEgIYz
agglomerate	IXgl'AAmER"EYt
agglomeration	IXgl"AAmER'EYSHIXn
agglutinate	IXgl'UWtIHn"EYt
aggrandize	IXgr'AEnd"AYz
aggrandizement	'AEgrIXnd"AYzmIXnt
aggrandizing	'AEgrIXnd"AYzIHNG
aggravate	'AEgrIXv"EYt
aggravated	'AEgrIXv"EYtIHd
aggravates	'AEgrIXv"EYts
aggravating	'AEgrIXv"EYtIHNG
aggravation	"AEgrIXv'EYSHIXn
aggregate	'AEgrIXgIXt
aggregated	'AEgrIXg"EYtIHd
aggregates	'AEgrIXgIHts
aggregation	"AEgrIXg'EYSHIXn
aggress	IXgr'EHs
aggression	IXgr'EHSHIXn
aggressions	IXgr'EHSHIXnz
aggressive	IXgr'EHsIHv
aggressively	IXgr'EHsIHvlIY
aggressiveness	IXgr'EHsIHvnIXs
aggressivity	IXgrEHs'IHvIHtIY
aggressor	IXgr'EHsER
aggressors	IXgr'EHsERz
aggrey	AEgr'EY
aggrieve	IXgr'IYv
aggrieved	IXgr'IYvd
aggy	'AEgIY
aghast	IXg'AEst
aghazadeh	"AEgIXz'AAd"EH
agie	'AEgIY
agildo	IXg'IHLXdOW
agile	'AEdZHIXLX
agilis	IXdZH'IHlIXs
agility	IXdZH'IHlIXtIY
agin	AAdZH'IYn
agincourt	'AEdZHIXnk"OWrt
aging	'EYdZHIHNG
agins	'EYgIHnz
agip	'EYgIHp
agitate	'AEdZHIXt"EYt
agitated	'AEdZHIXt"EYtIHd
agitating	'AEdZHIXt"EYtIHNG
agitation	"AEdZHIXt'EYSHIXn
agitator	'AEdZHIXt"EYtER
agitators	'AEdZHIHt"EYtERz
agitprop	'AEdZHIXtpr"AAp
agius	'EYdZHIYIHs
agleam	IXgl'IYm
agler	'AEglER
aglitter	IXgl'IHtER
aglo	IXgl'OW
aglow	IXgl'OW
agna	'AEgnAA
agne	'AEgnIH
agnella	"AEgn'EHlAA
agnelli	'AEgn"EHlIY
agnelli's	'AEgn"EHlIYz
agnellis	'AEgn"EHlIYz
agnello	"AEgn'EHlOW
agner	'AEgnER
agnes	'AEgnIHs
agneta	AAgn'EHtIX
agnew	'AEgnUW
agnico	'AEgnIHk"OW
agnor	'AEgnER
agnos	'AEgnOWs
agnosio	AEgn'OWsIYOW
agnostic	AEgn'AAstIHk
agnostically	AEgn'AAstIHkl"IY
agnostics	AEgn'AAstIHks
ago	IXg'OW
agog	IXg'AAg
agoglia	IXg'AAglIYIX
agonies	'AEgIXnIYz
agonist	'AEgIXnIHst
agonists	'AEgIXnIHsts
agonize	'AEgIXn"AYz
agonized	'AEgIXn"AYzd
agonizes	'AEgIXn"AYzIHz
agonizing	'AEgIXnAYzIHNG
agonizingly	'AEgIXn"AYzIHNGl"IY
agony	'AEgIXnIY
agora	'AEgERIX
agoraphobia	IXg"OWrIXf'OWbIYIX
agosta	AAg'OWstIX
agostinelli	AAgOWstIYn'EHlIY
agostini	AAgOWst'IYnIY
agostino	AAgAAst'IYnOW
agosto	AAg'OWstOW
agoura	IXg'UWrIX
agouron	IXg'UWrAAn
agra	'AEgrIX
agrarian	IXgr'EHrIYIXn
agrarianism	IXgr'EHrIYIXn"IHzIXm
agrawal	IXgr'AEwIXLX
agree	IXgr'IY
agreeable	IXgr'IYIXbIXLX
agreed	IXgr'IYd
agreeing	IXgr'IYIHNG
agreement	IXgr'IYmIXnt
agreement's	IXgr'IYmIXnts
agreements	IXgr'IYmIXnts
agrees	IXgr'IYz
agregable	IXgr'EHdZHIXbIXLX
agregious	IXgr'IYdZHIYIXs
